Time(s)   ;dm/dt(kg/s); Mach      ; Vt(m/s)   ; Tt(K)
     0.000;      0.000;      0.000;      0.000;   2179.000
     0.020;      0.001;      0.018;     18.101;   2178.922
     0.040;      0.001;      0.020;     19.897;   2178.906
     0.060;      0.001;      0.015;     15.622;   2178.942
     0.080;      0.001;      0.014;     14.677;   2178.949
     0.100;      0.001;      0.021;     21.257;   2178.892
     0.120;      0.002;      0.028;     28.642;   2178.804
     0.140;      0.002;      0.029;     29.856;   2178.788
     0.160;      0.002;      0.025;     25.437;   2178.846
     0.180;      0.002;      0.032;     32.983;   2178.741
     0.200;      0.003;      0.038;     38.818;   2178.641
     0.220;      0.003;      0.039;     39.497;   2178.628
     0.240;      0.003;      0.040;     40.855;   2178.602
     0.260;      0.003;      0.043;     43.664;   2178.546
     0.280;      0.004;      0.049;     50.028;   2178.404
     0.300;      0.004;      0.049;     50.055;   2178.403
     0.320;      0.003;      0.047;     47.825;   2178.455
     0.340;      0.004;      0.050;     51.147;   2178.377
     0.360;      0.004;      0.056;     56.856;   2178.230
     0.380;      0.004;      0.059;     60.449;   2178.129
     0.400;      0.005;      0.063;     64.689;   2178.003
     0.420;      0.005;      0.065;     66.815;   2177.936
     0.440;      0.005;      0.071;     72.914;   2177.733
     0.460;      0.006;      0.079;     80.950;   2177.439
     0.480;      0.006;      0.084;     85.868;   2177.243
     0.500;      0.006;      0.089;     90.835;   2177.034
     0.520;      0.007;      0.095;     96.916;   2176.762
     0.540;      0.007;      0.103;    104.841;   2176.381
     0.560;      0.008;      0.109;    111.065;   2176.061
     0.580;      0.008;      0.115;    117.676;   2175.700
     0.600;      0.009;      0.121;    123.117;   2175.388
     0.620;      0.009;      0.127;    129.330;   2175.014
     0.640;      0.010;      0.132;    134.651;   2174.679
     0.660;      0.010;      0.136;    139.115;   2174.388
     0.680;      0.010;      0.140;    142.836;   2174.138
     0.700;      0.010;      0.145;    147.861;   2173.789
     0.720;      0.011;      0.148;    151.302;   2173.544
     0.740;      0.011;      0.150;    153.193;   2173.407
     0.760;      0.011;      0.153;    156.143;   2173.189
     0.780;      0.011;      0.155;    158.469;   2173.015
     0.800;      0.011;      0.158;    160.731;   2172.842
     0.820;      0.012;      0.160;    163.199;   2172.652
     0.840;      0.012;      0.162;    164.837;   2172.524
     0.860;      0.012;      0.163;    166.674;   2172.378
     0.880;      0.012;      0.165;    168.202;   2172.256
     0.900;      0.012;      0.166;    169.779;   2172.129
     0.920;      0.012;      0.168;    171.891;   2171.957
     0.940;      0.012;      0.170;    173.750;   2171.804
     0.960;      0.012;      0.170;    173.680;   2171.810
     0.980;      0.012;      0.170;    173.922;   2171.790
     1.000;      0.012;      0.171;    174.719;   2171.723
     1.020;      0.013;      0.173;    176.924;   2171.538
     1.040;      0.013;      0.175;    178.385;   2171.415
     1.060;      0.013;      0.177;    180.290;   2171.252
     1.080;      0.013;      0.179;    182.535;   2171.057
     1.100;      0.013;      0.181;    184.168;   2170.915
     1.120;      0.013;      0.182;    185.293;   2170.815
     1.140;      0.013;      0.184;    187.485;   2170.620
     1.160;      0.013;      0.186;    189.736;   2170.418
     1.180;      0.014;      0.188;    192.259;   2170.188
     1.200;      0.014;      0.190;    193.928;   2170.034
     1.220;      0.014;      0.191;    195.226;   2169.914
     1.240;      0.014;      0.194;    197.452;   2169.705
     1.260;      0.014;      0.195;    199.002;   2169.558
     1.280;      0.014;      0.196;    200.120;   2169.452
     1.300;      0.015;      0.208;    212.049;   2168.279
     1.320;      0.016;      0.215;    218.936;   2167.570
     1.340;      0.016;      0.215;    218.970;   2167.567
     1.360;      0.016;      0.215;    219.272;   2167.535
     1.380;      0.016;      0.216;    220.351;   2167.422
     1.400;      0.016;      0.217;    221.798;   2167.269
     1.420;      0.016;      0.220;    224.827;   2166.946
     1.440;      0.016;      0.223;    227.328;   2166.676
     1.460;      0.016;      0.224;    228.081;   2166.595
     1.480;      0.016;      0.226;    230.757;   2166.301
     1.500;      0.016;      0.220;    224.355;   2166.997
     1.520;      0.016;      0.217;    221.262;   2167.326
     1.540;      0.016;      0.220;    223.997;   2167.035
     1.560;      0.016;      0.223;    228.004;   2166.603
     1.580;      0.016;      0.225;    229.590;   2166.430
     1.600;      0.016;      0.227;    232.088;   2166.154
     1.620;      0.016;      0.228;    232.448;   2166.114
     1.640;      0.016;      0.227;    231.346;   2166.236
     1.660;      0.016;      0.228;    232.483;   2166.111
     1.680;      0.016;      0.228;    232.727;   2166.083
     1.700;      0.016;      0.226;    230.686;   2166.309
     1.720;      0.016;      0.226;    231.034;   2166.271
     1.740;      0.016;      0.227;    231.454;   2166.225
     1.760;      0.016;      0.226;    230.277;   2166.354
     1.780;      0.016;      0.225;    229.746;   2166.413
     1.800;      0.016;      0.225;    229.099;   2166.483
     1.820;      0.016;      0.223;    227.426;   2166.666
     1.840;      0.016;      0.223;    227.986;   2166.605
     1.860;      0.016;      0.224;    228.542;   2166.544
     1.880;      0.016;      0.223;    227.218;   2166.688
     1.900;      0.016;      0.224;    228.314;   2166.569
     1.920;      0.016;      0.225;    229.931;   2166.392
     1.940;      0.016;      0.226;    230.077;   2166.376
     1.960;      0.016;      0.227;    231.434;   2166.227
     1.980;      0.017;      0.229;    233.987;   2165.943
     2.000;      0.017;      0.231;    235.520;   2165.771
     2.020;      0.017;      0.233;    238.119;   2165.477
     2.040;      0.017;      0.236;    240.734;   2165.178
     2.060;      0.017;      0.237;    241.611;   2165.077
     2.080;      0.017;      0.240;    244.380;   2164.756
     2.100;      0.018;      0.242;    247.134;   2164.433
     2.120;      0.018;      0.243;    248.422;   2164.280
     2.140;      0.018;      0.246;    251.131;   2163.957
     2.160;      0.018;      0.249;    253.655;   2163.653
     2.180;      0.018;      0.250;    255.189;   2163.466
     2.200;      0.018;      0.252;    257.004;   2163.244
     2.220;      0.018;      0.254;    259.037;   2162.994
     2.240;      0.018;      0.255;    259.903;   2162.886
     2.260;      0.019;      0.257;    262.053;   2162.618
     2.280;      0.019;      0.259;    264.646;   2162.292
     2.300;      0.019;      0.260;    265.731;   2162.155
     2.320;      0.019;      0.261;    266.695;   2162.032
     2.340;      0.019;      0.263;    268.315;   2161.825
     2.360;      0.019;      0.264;    269.314;   2161.696
     2.380;      0.019;      0.265;    270.737;   2161.513
     2.400;      0.019;      0.268;    273.267;   2161.184
     2.420;      0.019;      0.269;    274.056;   2161.081
     2.440;      0.020;      0.270;    275.049;   2160.951
     2.460;      0.020;      0.271;    276.744;   2160.727
     2.480;      0.020;      0.273;    278.149;   2160.541
     2.500;      0.020;      0.274;    279.391;   2160.375
     2.520;      0.020;      0.276;    281.926;   2160.035
     2.540;      0.020;      0.277;    283.066;   2159.881
     2.560;      0.020;      0.278;    283.747;   2159.789
     2.580;      0.020;      0.280;    285.257;   2159.584
     2.600;      0.020;      0.281;    286.303;   2159.441
     2.620;      0.020;      0.282;    287.599;   2159.263
     2.640;      0.021;      0.284;    289.661;   2158.979
     2.660;      0.021;      0.285;    290.858;   2158.812
     2.680;      0.021;      0.286;    291.341;   2158.745
     2.700;      0.021;      0.287;    292.646;   2158.563
     2.720;      0.021;      0.287;    292.630;   2158.565
     2.740;      0.021;      0.287;    292.745;   2158.549
     2.760;      0.021;      0.288;    294.280;   2158.334
     2.780;      0.021;      0.289;    295.061;   2158.224
     2.800;      0.021;      0.289;    295.114;   2158.216
     2.820;      0.021;      0.290;    296.365;   2158.039
     2.840;      0.021;      0.291;    296.503;   2158.020
     2.860;      0.021;      0.291;    296.758;   2157.984
     2.880;      0.021;      0.292;    297.465;   2157.883
     2.900;      0.021;      0.292;    297.919;   2157.818
     2.920;      0.021;      0.292;    298.420;   2157.747
     2.940;      0.021;      0.294;    300.353;   2157.470
     2.960;      0.021;      0.295;    301.100;   2157.363
     2.980;      0.021;      0.295;    301.022;   2157.374
     3.000;      0.021;      0.296;    301.784;   2157.264
     3.020;      0.021;      0.296;    302.167;   2157.209
     3.040;      0.022;      0.297;    303.073;   2157.078
     3.060;      0.022;      0.298;    304.233;   2156.909
     3.080;      0.022;      0.299;    305.113;   2156.781
     3.100;      0.022;      0.299;    305.586;   2156.712
     3.120;      0.022;      0.300;    306.464;   2156.584
     3.140;      0.022;      0.301;    306.795;   2156.535
     3.160;      0.022;      0.301;    307.403;   2156.446
     3.180;      0.022;      0.303;    308.873;   2156.229
     3.200;      0.022;      0.304;    309.860;   2156.083
     3.220;      0.022;      0.304;    310.211;   2156.031
     3.240;      0.022;      0.305;    311.241;   2155.878
     3.260;      0.022;      0.305;    311.408;   2155.853
     3.280;      0.022;      0.305;    311.438;   2155.849
     3.300;      0.022;      0.306;    312.336;   2155.715
     3.320;      0.022;      0.307;    313.266;   2155.576
     3.340;      0.022;      0.307;    312.838;   2155.640
     3.360;      0.022;      0.307;    313.388;   2155.557
     3.380;      0.022;      0.308;    313.884;   2155.483
     3.400;      0.022;      0.307;    313.328;   2155.566
     3.420;      0.022;      0.307;    313.703;   2155.510
     3.440;      0.022;      0.308;    314.324;   2155.417
     3.460;      0.022;      0.309;    314.844;   2155.338
     3.480;      0.022;      0.309;    315.407;   2155.254
     3.500;      0.023;      0.310;    316.249;   2155.126
     3.520;      0.023;      0.310;    316.624;   2155.070
     3.540;      0.023;      0.311;    317.468;   2154.942
     3.560;      0.023;      0.311;    317.718;   2154.904
     3.580;      0.023;      0.311;    317.733;   2154.901
     3.600;      0.023;      0.312;    318.595;   2154.770
     3.620;      0.023;      0.313;    319.379;   2154.651
     3.640;      0.023;      0.313;    318.938;   2154.718
     3.660;      0.023;      0.313;    319.367;   2154.652
     3.680;      0.023;      0.314;    320.249;   2154.517
     3.700;      0.023;      0.314;    320.268;   2154.514
     3.720;      0.023;      0.314;    320.462;   2154.485
     3.740;      0.023;      0.315;    321.859;   2154.270
     3.760;      0.023;      0.316;    322.951;   2154.102
     3.780;      0.023;      0.318;    324.104;   2153.923
     3.800;      0.023;      0.319;    325.669;   2153.680
     3.820;      0.023;      0.320;    326.844;   2153.496
     3.840;      0.023;      0.321;    327.890;   2153.333
     3.860;      0.023;      0.322;    328.761;   2153.196
     3.880;      0.023;      0.322;    328.542;   2153.230
     3.900;      0.023;      0.323;    329.435;   2153.090
     3.920;      0.024;      0.324;    330.507;   2152.920
     3.940;      0.024;      0.324;    330.475;   2152.925
     3.960;      0.024;      0.324;    330.853;   2152.866
     3.980;      0.024;      0.324;    331.000;   2152.842
     4.000;      0.024;      0.324;    330.767;   2152.879
     4.020;      0.023;      0.323;    329.526;   2153.075
     4.040;      0.023;      0.323;    329.307;   2153.110
     4.060;      0.023;      0.323;    329.487;   2153.081
     4.080;      0.024;      0.323;    330.019;   2152.997
     4.100;      0.024;      0.323;    329.671;   2153.052
     4.120;      0.023;      0.323;    329.107;   2153.141
     4.140;      0.023;      0.322;    328.893;   2153.175
     4.160;      0.023;      0.322;    328.850;   2153.182
     4.180;      0.023;      0.322;    328.215;   2153.282
     4.200;      0.023;      0.320;    327.007;   2153.471
     4.220;      0.023;      0.321;    327.921;   2153.328
     4.240;      0.023;      0.322;    328.459;   2153.243
     4.260;      0.023;      0.322;    328.158;   2153.290
     4.280;      0.023;      0.322;    328.357;   2153.259
     4.300;      0.023;      0.323;    329.346;   2153.104
     4.320;      0.023;      0.323;    329.356;   2153.102
     4.340;      0.023;      0.323;    329.307;   2153.110
     4.360;      0.023;      0.322;    328.698;   2153.206
     4.380;      0.023;      0.322;    328.789;   2153.191
     4.400;      0.023;      0.323;    329.439;   2153.089
     4.420;      0.023;      0.323;    329.609;   2153.062
     4.440;      0.024;      0.324;    330.755;   2152.881
     4.460;      0.024;      0.324;    330.791;   2152.875
     4.480;      0.024;      0.324;    330.636;   2152.900
     4.500;      0.024;      0.323;    330.019;   2152.997
     4.520;      0.023;      0.323;    329.599;   2153.064
     4.540;      0.024;      0.323;    329.896;   2153.017
     4.560;      0.024;      0.324;    330.706;   2152.889
     4.580;      0.024;      0.325;    331.282;   2152.798
     4.600;      0.024;      0.325;    331.660;   2152.738
     4.620;      0.024;      0.325;    331.792;   2152.717
     4.640;      0.024;      0.325;    331.258;   2152.801
     4.660;      0.024;      0.326;    332.251;   2152.644
     4.680;      0.024;      0.326;    332.778;   2152.560
     4.700;      0.024;      0.326;    332.850;   2152.548
     4.720;      0.024;      0.327;    333.667;   2152.418
     4.740;      0.024;      0.327;    334.014;   2152.363
     4.760;      0.024;      0.327;    333.278;   2152.480
     4.780;      0.024;      0.326;    333.078;   2152.512
     4.800;      0.024;      0.327;    334.022;   2152.361
     4.820;      0.024;      0.328;    334.321;   2152.314
     4.840;      0.024;      0.327;    333.986;   2152.367
     4.860;      0.024;      0.327;    333.498;   2152.445
     4.880;      0.024;      0.327;    333.637;   2152.423
     4.900;      0.024;      0.327;    333.595;   2152.430
     4.920;      0.024;      0.327;    333.857;   2152.388
     4.940;      0.024;      0.328;    334.474;   2152.289
     4.960;      0.024;      0.329;    335.896;   2152.061
     4.980;      0.024;      0.330;    337.197;   2151.851
