           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0            Cd0            Cdb
     0.00000000     0.00000000     0.00000000     0.00000000   633.56767594   633.56767594     0.00000000     0.00000000     0.00000000     0.00000000    20.33082667     0.03759000     0.40763200  1997.45748026     0.23150733     0.11237738
     0.00500000     3.16734498     3.16722263    -0.00000163   633.37044071   633.32150371    -0.00065106     0.00000002    -0.00000002     0.00000126    20.33082588     0.03759000     0.40763200  1997.28350166     0.23155653     0.11241595
     0.01000000     6.33370564     6.33321629    -0.00000650   633.17394208   633.07608339    -0.00129773     0.00000003    -0.00000003     0.00000252    20.33082358     0.03759000     0.40763200  1997.10963360     0.23160557     0.11245440
     0.01500000     9.49908551     9.49798460    -0.00001460   632.97810677   632.83134161    -0.00194000     0.00000005    -0.00000005     0.00000378    20.33081997     0.03759000     0.40763200  1996.93587588     0.23165449     0.11249273
     0.02000000    12.66348761    12.66153064    -0.00002590   632.78281293   632.58715646    -0.00257788     0.00000007    -0.00000007     0.00000504    20.33081534     0.03759000     0.40763200  1996.76222829     0.23170330     0.11253097
     0.02500000    15.82691426    15.82385681    -0.00004037   632.58789470   632.34336205    -0.00321137     0.00000008    -0.00000008     0.00000631    20.33081012     0.03759000     0.40763200  1996.58869068     0.23175206     0.11256914
     0.03000000    18.98936691    18.98496464    -0.00005800   632.39319219   632.09979850    -0.00384049     0.00000010    -0.00000010     0.00000757    20.33080473     0.03759000     0.40763200  1996.41526291     0.23180079     0.11260729
     0.03500000    22.15084636    22.14485500    -0.00007877   632.19860144   631.85636190    -0.00446523     0.00000012    -0.00000012     0.00000884    20.33079943     0.03759000     0.40763200  1996.24194486     0.23184952     0.11264543
     0.04000000    25.31135304    25.30352840    -0.00010265   632.00407896   631.61300874    -0.00508561     0.00000013    -0.00000013     0.00001011    20.33079433     0.03759000     0.40763199  1996.06873645     0.23189827     0.11268356
     0.04500000    28.47088729    28.46098525    -0.00012962   631.80963873   631.36975301    -0.00570162     0.00000015    -0.00000015     0.00001138    20.33078939     0.03759000     0.40763199  1995.89563758     0.23194704     0.11272169
     0.05000000    31.62944963    31.61722615    -0.00015966   631.61531970   631.12663360    -0.00631327     0.00000016    -0.00000016     0.00001265    20.33078453     0.03759000     0.40763199  1995.72264815     0.23199580     0.11275981
