Time(s);dm/dt(kg/s);Mach;Vt(m/s);Tt(K)
0.000;0.0000;0.0000;0.0000;0.0000
0.020;0.0000;0.0000;0.0000;0.0000
0.040;0.0000;0.0000;0.0000;0.0000
0.060;0.0000;0.0000;0.0000;0.0000
0.080;0.0000;0.0000;0.0000;0.0000
0.100;0.0000;0.0000;0.0000;0.0000
0.120;0.0000;0.0000;0.0000;0.0000
0.140;0.0000;0.0000;0.0000;0.0000
0.160;0.0000;0.0000;0.0000;0.0000
0.180;0.0000;0.0000;0.0000;0.0000
0.200;0.0000;0.0000;0.0000;0.0000
0.220;0.0000;0.0000;0.0000;0.0000
0.240;0.0000;0.0000;0.0000;0.0000
0.260;0.0000;0.0000;0.0000;0.0000
0.280;0.0000;0.0000;0.0000;0.0000
0.300;0.0000;0.0000;0.0000;0.0000
0.320;0.0000;0.0000;0.0000;0.0000
0.340;0.0000;0.0000;0.0000;0.0000
0.360;0.0000;0.0000;0.0000;0.0000
0.380;0.0000;0.0000;0.0000;0.0000
0.400;0.0000;0.0000;0.0000;0.0000
0.420;0.0000;0.0000;0.0000;0.0000
0.440;0.0000;0.0000;0.0000;0.0000
0.460;0.0000;0.0000;0.0000;0.0000
0.480;0.0000;0.0000;0.0000;0.0000
0.500;0.0000;0.0000;0.0000;0.0000
0.520;0.0000;0.0000;0.0000;0.0000
0.540;0.0000;0.0000;0.0000;0.0000
0.560;0.0000;0.0000;0.0000;0.0000
0.580;0.0000;0.0000;0.0000;0.0000
0.600;0.0000;0.0000;0.0000;0.0000
0.620;0.0000;0.0000;0.0000;0.0000
0.640;0.0000;0.0000;0.0000;0.0000
0.660;0.0000;0.0000;0.0000;0.0000
0.680;0.0000;0.0000;0.0000;0.0000
0.700;0.0000;0.0000;0.0000;0.0000
0.720;0.0000;0.0000;0.0000;0.0000
0.740;0.0000;0.0000;0.0000;0.0000
0.760;0.0000;0.0000;0.0000;0.0000
0.780;0.0000;0.0000;0.0000;0.0000
0.800;0.0000;0.0000;0.0000;0.0000
0.820;0.0000;0.0000;0.0000;0.0000
0.840;0.0000;0.0000;0.0000;0.0000
0.860;0.0000;0.0000;0.0000;0.0000
0.880;0.0000;0.0000;0.0000;0.0000
0.900;0.0000;0.0000;0.0000;0.0000
0.920;0.0000;0.0000;0.0000;0.0000
0.940;0.0000;0.0000;0.0000;0.0000
0.960;0.0000;0.0000;0.0000;0.0000
0.980;0.0000;0.0000;0.0000;0.0000
1.000;0.0000;0.0000;0.0000;0.0000
1.020;0.0000;0.0000;0.0000;0.0000
1.040;0.0000;0.0000;0.0000;0.0000
1.060;0.0000;0.0000;0.0000;0.0000
1.080;0.0000;0.0000;0.0000;0.0000
1.100;0.0000;0.0000;0.0000;0.0000
1.120;0.0000;0.0000;0.0000;0.0000
1.140;0.0000;0.0000;0.0000;0.0000
1.160;0.0000;0.0000;0.0000;0.0000
1.180;0.0000;0.0000;0.0000;0.0000
