           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.00000000     0.00000000     0.00000000     0.00000000   633.56767594   633.56767594     0.00000000     0.00000000     0.00000000     0.00000000    19.81901827     0.03759000     0.40763200  1997.45748026
     0.00500000     3.16733224     3.16720989    -0.00000163   633.36534836   633.31641156    -0.00065101     0.00000002    -0.00000002     0.00000126    19.81901748     0.03758755     0.40760519  1997.28349646
     0.01000000     6.33365475     6.33316541    -0.00000650   633.16377856   633.06592066    -0.00129750     0.00000003    -0.00000003     0.00000252    19.81901518     0.03758510     0.40757838  1997.10961279
     0.01500000     9.49897116     9.49787026    -0.00001460   632.96289135   632.81612797    -0.00193949     0.00000005    -0.00000005     0.00000378    19.81901157     0.03758265     0.40755157  1996.93582907
     0.02000000    12.66328460    12.66132765    -0.00002589   632.76256172   632.56690840    -0.00257698     0.00000007    -0.00000007     0.00000504    19.81900694     0.03758020     0.40752476  1996.76214511
     0.02500000    15.82659743    15.82354002    -0.00004036   632.56261953   632.31809178    -0.00320997     0.00000008    -0.00000008     0.00000631    19.81900172     0.03757775     0.40749795  1996.58856075
     0.03000000    18.98891116    18.98450896    -0.00005798   632.36290074   632.06951410    -0.00383847     0.00000010    -0.00000010     0.00000757    19.81899633     0.03757530     0.40747114  1996.41507587
     0.03500000    22.15022662    22.14423537    -0.00007874   632.16329871   631.82106874    -0.00446249     0.00000012    -0.00000012     0.00000884    19.81899103     0.03757285     0.40744433  1996.24169036
     0.04000000    25.31054426    25.30271979    -0.00010260   631.96376881   631.57271109    -0.00508203     0.00000013    -0.00000013     0.00001011    19.81898593     0.03757040     0.40741752  1996.06840416
     0.04500000    28.46986445    28.45996265    -0.00012955   631.76432539   631.32445548    -0.00569709     0.00000015    -0.00000015     0.00001138    19.81898099     0.03756795     0.40739071  1995.89521717
     0.05000000    31.62818773    31.61596458    -0.00015956   631.56500839   631.07634181    -0.00630769     0.00000016    -0.00000016     0.00001265    19.81897613     0.03756550     0.40736390  1995.72212931
     0.05500000    34.78551480    34.77072636    -0.00019262   631.36584998   630.82840221    -0.00691382     0.00000018    -0.00000018     0.00001392    19.81897124     0.03756305     0.40733709  1995.54914048
     0.06000000    37.94184653    37.92424893    -0.00022869   631.16687152   630.58065801    -0.00751550     0.00000019    -0.00000019     0.00001520    19.81896629     0.03756060     0.40731028  1995.37625059
     0.06500000    41.09718384    41.07653329    -0.00026777   630.96808327   630.33311942    -0.00811272     0.00000021    -0.00000021     0.00001647    19.81896124     0.03755815     0.40728347  1995.20345953
     0.07000000    44.25152767    44.22758046    -0.00030981   630.76948064   630.08578184    -0.00870549     0.00000023    -0.00000023     0.00001775    19.81895610     0.03755570     0.40725665  1995.03076720
     0.07500000    47.40487891    47.37739140    -0.00035481   630.57104054   629.83862219    -0.00929382     0.00000024    -0.00000024     0.00001903    19.81895094     0.03755325     0.40722984  1994.85817351
     0.08000000    50.55723828    50.52596691    -0.00040274   630.37272106   629.59159859    -0.00987771     0.00000026    -0.00000026     0.00002031    19.81894586     0.03755080     0.40720303  1994.68567835
     0.08500000    53.70860623    53.67330752    -0.00045358   630.17446582   629.34465470    -0.01045717     0.00000027    -0.00000027     0.00002160    19.81894099     0.03754835     0.40717622  1994.51328166
     0.09000000    56.85898300    56.81941354    -0.00050731   629.97625212   629.09776787    -0.01103220     0.00000029    -0.00000029     0.00002288    19.81893640     0.03754590     0.40714940  1994.34098334
     0.09500000    60.00836891    59.96428538    -0.00056390   629.77813909   628.85099713    -0.01160281     0.00000030    -0.00000030     0.00002416    19.81893193     0.03754345     0.40712259  1994.16878333
     0.10000000    63.15676480    63.10792395    -0.00062333   629.58027200   628.60448753    -0.01216900     0.00000032    -0.00000032     0.00002545    19.81892722     0.03754100     0.40709578  1993.99668152
     0.10500000    66.30417241    66.25033107    -0.00068558   629.38287292   628.35846073    -0.01273077     0.00000033    -0.00000033     0.00002674    19.81892172     0.03753855     0.40706896  1993.82467778
     0.11000000    69.45059464    69.39150969    -0.00075063   629.18613763   628.11311215    -0.01328813     0.00000035    -0.00000035     0.00002803    19.81891494     0.03753610     0.40704215  1993.65277195
     0.11500000    72.59603502    72.53146344    -0.00081845   628.99013270   627.86850813    -0.01384107     0.00000036    -0.00000036     0.00002932    19.81890670     0.03753365     0.40701534  1993.48096383
     0.12000000    75.74049707    75.67019590    -0.00088903   628.79478615   627.62457671    -0.01438961     0.00000038    -0.00000038     0.00003061    19.81889719     0.03753120     0.40698852  1993.30925322
     0.12500000    78.88398364    78.80770999    -0.00096234   628.59989714   627.38111734    -0.01493374     0.00000039    -0.00000039     0.00003191    19.81888691     0.03752875     0.40696171  1993.13763995
     0.13000000    82.02649643    81.94400749    -0.00103836   628.40524222   627.13790694    -0.01547349     0.00000041    -0.00000041     0.00003321    19.81887642     0.03752630     0.40693489  1992.96612390
     0.13500000    85.16803622    85.07908924    -0.00111707   628.21068152   626.89480591    -0.01600885     0.00000042    -0.00000042     0.00003450    19.81886606     0.03752385     0.40690808  1992.79470498
     0.14000000    88.30860332    88.21295564    -0.00119844   628.01616840   626.65176769    -0.01653984     0.00000043    -0.00000043     0.00003580    19.81885595     0.03752139     0.40688126  1992.62338310
     0.14500000    91.44819805    91.34560709    -0.00128246   627.82174355   626.40883288    -0.01706646     0.00000045    -0.00000045     0.00003710    19.81884599     0.03751894     0.40685444  1992.45215819
     0.15000000    94.58682101    94.47704425    -0.00136910   627.62747090   626.16606525    -0.01758870     0.00000046    -0.00000046     0.00003841    19.81883603     0.03751649     0.40682763  1992.28103016
     0.15500000    97.72447305    97.60726806    -0.00145834   627.43337347   625.92348776    -0.01810659     0.00000048    -0.00000048     0.00003971    19.81882599     0.03751404     0.40680081  1992.10999892
     0.16000000   100.86115500   100.73627941    -0.00155016   627.23942757   625.68107674    -0.01862011     0.00000049    -0.00000049     0.00004101    19.81881595     0.03751159     0.40677399  1991.93906437
     0.16500000   103.99686747   103.86407900    -0.00164454   627.04556867   625.43876781    -0.01912929     0.00000050    -0.00000050     0.00004232    19.81880605     0.03750914     0.40674717  1991.76822642
     0.17000000   107.13161076   106.99066719    -0.00174145   626.85175574   625.19652004    -0.01963411     0.00000052    -0.00000052     0.00004363    19.81879642     0.03750669     0.40672035  1991.59748500
     0.17500000   110.26538517   110.11604437    -0.00184087   626.65803553   624.95438006    -0.02013460     0.00000053    -0.00000053     0.00004494    19.81878691     0.03750424     0.40669353  1991.42684003
     0.18000000   113.39819150   113.24021139    -0.00194278   626.46454846   624.71248788    -0.02063075     0.00000054    -0.00000054     0.00004625    19.81877720     0.03750179     0.40666671  1991.25629142
     0.18500000   116.53003142   116.36317004    -0.00204717   626.27151876   624.47106707    -0.02112255     0.00000056    -0.00000056     0.00004756    19.81876670     0.03749934     0.40663989  1991.08583904
