           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.00000000     0.00000000     0.00000000     0.00000000   686.37582103   575.93769828     0.00000000     0.00000000     0.00000000     0.00000000    19.81901827     0.03759000     0.40763200  1997.45748026
     0.00500000     3.43133077     2.87910603    -0.00000163   686.15662596   575.70483497    -0.00064935     0.00000002    -0.00000002     0.00000136    19.81901748     0.03758755     0.40760519  1997.28349375
     0.01000000     6.86156762     5.75704952    -0.00000649   685.93824503   575.47267052    -0.00129384     0.00000003    -0.00000004     0.00000273    19.81901518     0.03758510     0.40757838  1997.10960198
     0.01500000    10.29071444     8.63383379    -0.00001456   685.72059681   575.24113650    -0.00193349     0.00000005    -0.00000005     0.00000409    19.81901157     0.03758265     0.40755157  1996.93580476
     0.02000000    13.71877459    11.50946175    -0.00002581   685.50354587   575.01011921    -0.00256830     0.00000006    -0.00000007     0.00000546    19.81900694     0.03758020     0.40752476  1996.76210191
     0.02500000    17.14575059    14.38393559    -0.00004023   685.28690791   574.77946397    -0.00319828     0.00000007    -0.00000009     0.00000683    19.81900172     0.03757775     0.40749795  1996.58849329
     0.03000000    20.57164405    17.25725674    -0.00005779   685.07050524   574.54902171    -0.00382343     0.00000009    -0.00000011     0.00000820    19.81899633     0.03757530     0.40747114  1996.41497878
     0.03500000    23.99645584    20.12942599    -0.00007846   684.85422233   574.31869551    -0.00444376     0.00000010    -0.00000012     0.00000957    19.81899103     0.03757285     0.40744433  1996.24155828
     0.04000000    27.42018639    23.00044381    -0.00010222   684.63801086   574.08844483    -0.00505928     0.00000012    -0.00000014     0.00001095    19.81898593     0.03757040     0.40741752  1996.06823174
     0.04500000    30.84283609    25.87031059    -0.00012904   684.42188638   573.85828272    -0.00566998     0.00000013    -0.00000016     0.00001232    19.81898099     0.03756795     0.40739071  1995.89499906
     0.05000000    34.26440547    28.73902685    -0.00015891   684.20589218   573.62824545    -0.00627588     0.00000015    -0.00000018     0.00001370    19.81897613     0.03756550     0.40736390  1995.72186017
     0.05500000    37.68489529    31.60659330    -0.00019179   683.99006311   573.39836224    -0.00687698     0.00000016    -0.00000019     0.00001508    19.81897124     0.03756305     0.40733709  1995.54881499
     0.06000000    41.10430642    34.47301076    -0.00022767   683.77442234   573.16865249    -0.00747328     0.00000018    -0.00000021     0.00001646    19.81896629     0.03756060     0.40731028  1995.37586343
     0.06500000    44.52263984    37.33828013    -0.00026652   683.55898099   572.93912549    -0.00806480     0.00000019    -0.00000023     0.00001784    19.81896124     0.03755815     0.40728347  1995.20300539
