           time              x              y              z             vx             vy             vz            yox            yoy            yoz             mi            Ix0            CG0             p0
     0.00000000     0.00000000     0.00000000     0.00000000   686.37582103   575.93769828     0.00000000     0.00000000     0.00000000     0.00000000    19.81900000     0.03759000     0.40763200  1997.45748026
     0.00500000     3.43133020     2.87910556    -0.00000163   686.15628550   575.70454931    -0.00064935     0.00000002    -0.00000002     0.00000136    19.81900000     0.03758755     0.40760519  1997.28349377
     0.01000000     6.86156312     5.75704574    -0.00000649   685.93691078   575.47155108    -0.00129384     0.00000003    -0.00000004     0.00000273    19.81900000     0.03758510     0.40757838  1997.10960214
     0.01500000    10.29069957     8.63382132    -0.00001456   685.71769669   575.23870342    -0.00193349     0.00000005    -0.00000005     0.00000409    19.81900000     0.03758265     0.40755157  1996.93580526
     0.02000000    13.71874036    11.50943303    -0.00002581   685.49864305   575.00600617    -0.00256831     0.00000006    -0.00000007     0.00000546    19.81900000     0.03758020     0.40752476  1996.76210307
     0.02500000    17.14568627    14.38388163    -0.00004023   685.27974968   574.77345914    -0.00319829     0.00000007    -0.00000009     0.00000683    19.81900000     0.03757775     0.40749795  1996.58849545
     0.03000000    20.57153812    17.25716787    -0.00005779   685.06101639   574.54106217    -0.00382344     0.00000009    -0.00000011     0.00000820    19.81900000     0.03757530     0.40747114  1996.41498234
     0.03500000    23.99629670    20.12929250    -0.00007846   684.84244301   574.30881510    -0.00444378     0.00000010    -0.00000012     0.00000957    19.81900000     0.03757285     0.40744433  1996.24156364
     0.04000000    27.41996282    23.00025627    -0.00010222   684.62402935   574.07671775    -0.00505929     0.00000012    -0.00000014     0.00001095    19.81900000     0.03757040     0.40741752  1996.06823926
     0.04500000    30.84253726    25.87005993    -0.00012904   684.40577525   573.84476996    -0.00567000     0.00000013    -0.00000016     0.00001232    19.81900000     0.03756795     0.40739071  1995.89500911
     0.05000000    34.26402084    28.73870422    -0.00015891   684.18768050   573.61297156    -0.00627590     0.00000015    -0.00000018     0.00001370    19.81900000     0.03756550     0.40736390  1995.72187311
     0.05500000    37.68441433    31.60618989    -0.00019179   683.96974495   573.38132239    -0.00687700     0.00000016    -0.00000019     0.00001508    19.81900000     0.03756305     0.40733709  1995.54883117
     0.06000000    41.10371855    34.47251769    -0.00022767   683.75196841   573.14982226    -0.00747331     0.00000018    -0.00000021     0.00001646    19.81900000     0.03756060     0.40731028  1995.37588320
     0.06500000    44.52193428    37.33768836    -0.00026652   683.53435070   572.91847103    -0.00806483     0.00000019    -0.00000023     0.00001784    19.81900000     0.03755815     0.40728347  1995.20302911
     0.07000000    47.93906232    40.20170265    -0.00030831   683.31689163   572.68726852    -0.00865156     0.00000020    -0.00000024     0.00001923    19.81900000     0.03755570     0.40725666  1995.03026882
     0.07500000    51.35510346    43.06456130    -0.00035303   683.09959105   572.45621456    -0.00923352     0.00000022    -0.00000026     0.00002061    19.81900000     0.03755325     0.40722985  1994.85760224
     0.08000000    54.77005850    45.92626504    -0.00040064   682.88244876   572.22530899    -0.00981070     0.00000023    -0.00000028     0.00002200    19.81900000     0.03755080     0.40720304  1994.68502928
     0.08500000    58.18392821    48.78681463    -0.00045112   682.66546458   571.99455165    -0.01038312     0.00000025    -0.00000029     0.00002339    19.81900000     0.03754835     0.40717623  1994.51254986
     0.09000000    61.59671340    51.64621081    -0.00050446   682.44863835   571.76394236    -0.01095077     0.00000026    -0.00000031     0.00002478    19.81900000     0.03754590     0.40714942  1994.34016389
     0.09500000    65.00841486    54.50445430    -0.00056062   682.23196989   571.53348097    -0.01151367     0.00000027    -0.00000032     0.00002617    19.81900000     0.03754345     0.40712261  1994.16787129
     0.10000000    68.41903337    57.36154586    -0.00061959   682.01545901   571.30316730    -0.01207182     0.00000029    -0.00000034     0.00002756    19.81900000     0.03754100     0.40709580  1993.99567196
     0.10500000    71.82856971    60.21748622    -0.00068134   681.79910554   571.07300120    -0.01262522     0.00000030    -0.00000036     0.00002896    19.81900000     0.03753855     0.40706899  1993.82356582
     0.11000000    75.23702468    63.07227612    -0.00074583   681.58290931   570.84298250    -0.01317388     0.00000031    -0.00000037     0.00003036    19.81900000     0.03753610     0.40704218  1993.65155278
     0.11500000    78.64439907    65.92591629    -0.00081307   681.36687014   570.61311103    -0.01371781     0.00000033    -0.00000039     0.00003175    19.81900000     0.03753365     0.40701537  1993.47963277
     0.12000000    82.05069365    68.77840748    -0.00088300   681.15098786   570.38338662    -0.01425700     0.00000034    -0.00000040     0.00003315    19.81900000     0.03753120     0.40698856  1993.30780569
     0.12500000    85.45590921    71.62975040    -0.00095563   680.93526228   570.15380913    -0.01479148     0.00000035    -0.00000042     0.00003455    19.81900000     0.03752875     0.40696175  1993.13607145
     0.13000000    88.86004653    74.47994581    -0.00103091   680.71969324   569.92437838    -0.01532123     0.00000036    -0.00000043     0.00003596    19.81900000     0.03752630     0.40693494  1992.96442998
     0.13500000    92.26310640    77.32899443    -0.00110883   680.50428055   569.69509421    -0.01584627     0.00000038    -0.00000045     0.00003736    19.81900000     0.03752385     0.40690813  1992.79288118
     0.14000000    95.66508960    80.17689700    -0.00118937   680.28902406   569.46595645    -0.01636660     0.00000039    -0.00000046     0.00003877    19.81900000     0.03752140     0.40688132  1992.62142497
     0.14500000    99.06599690    83.02365424    -0.00127249   680.07392357   569.23696495    -0.01688222     0.00000040    -0.00000048     0.00004018    19.81900000     0.03751895     0.40685451  1992.45006127
     0.15000000   102.46582909    85.86926689    -0.00135818   679.85897892   569.00811955    -0.01739315     0.00000042    -0.00000049     0.00004159    19.81900000     0.03751650     0.40682770  1992.27878999
     0.15500000   105.86458695    88.71373568    -0.00144641   679.64418993   568.77942007    -0.01789939     0.00000043    -0.00000051     0.00004300    19.81900000     0.03751405     0.40680089  1992.10761104
     0.16000000   109.26227125    91.55706133    -0.00153717   679.42955644   568.55086635    -0.01840094     0.00000044    -0.00000052     0.00004441    19.81900000     0.03751160     0.40677408  1991.93652435
     0.16500000   112.65888277    94.39924458    -0.00163042   679.21507826   568.32245825    -0.01889780     0.00000045    -0.00000054     0.00004582    19.81900000     0.03750915     0.40674727  1991.76552982
     0.17000000   116.05442229    97.24028616    -0.00172614   679.00075523   568.09419559    -0.01938999     0.00000046    -0.00000055     0.00004724    19.81900000     0.03750670     0.40672046  1991.59462737
     0.17500000   119.44889058   100.08018678    -0.00182431   678.78658717   567.86607821    -0.01987751     0.00000048    -0.00000057     0.00004866    19.81900000     0.03750425     0.40669365  1991.42381692
     0.18000000   122.84228842   102.91894718    -0.00192490   678.57257390   567.63810596    -0.02036036     0.00000049    -0.00000058     0.00005008    19.81900000     0.03750180     0.40666684  1991.25309838
     0.18500000   126.23461658   105.75656808    -0.00202790   678.35871527   567.41027866    -0.02083854     0.00000050    -0.00000060     0.00005150    19.81900000     0.03749935     0.40664003  1991.08247168
     0.19000000   129.62587583   108.59305021    -0.00213328   678.14501110   567.18259617    -0.02131208     0.00000051    -0.00000061     0.00005292    19.81900000     0.03749690     0.40661322  1990.91193671
     0.19500000   133.01606695   111.42839429    -0.00224102   677.93146121   566.95505832    -0.02178096     0.00000052    -0.00000062     0.00005435    19.81900000     0.03749445     0.40658641  1990.74149341
     0.20000000   136.40519070   114.26260103    -0.00235108   677.71806543   566.72766495    -0.02224519     0.00000053    -0.00000064     0.00005577    19.81900000     0.03749200     0.40655960  1990.57114168
     0.20500000   139.79324786   117.09567118    -0.00246346   677.50482360   566.50041591    -0.02270479     0.00000055    -0.00000065     0.00005720    19.81900000     0.03748955     0.40653279  1990.40088145
     0.21000000   143.18023919   119.92760543    -0.00257812   677.29173554   566.27331102    -0.02315974     0.00000056    -0.00000066     0.00005863    19.81900000     0.03748710     0.40650598  1990.23071263
     0.21500000   146.56616547   122.75840453    -0.00269505   677.07880108   566.04635014    -0.02361007     0.00000057    -0.00000068     0.00006006    19.81900000     0.03748465     0.40647917  1990.06063513
     0.22000000   149.95102746   125.58806918    -0.00281422   676.86602005   565.81953311    -0.02405577     0.00000058    -0.00000069     0.00006149    19.81900000     0.03748220     0.40645236  1989.89064888
     0.22500000   153.33482593   128.41660010    -0.00293560   676.65339229   565.59285976    -0.02449686     0.00000059    -0.00000070     0.00006293    19.81900000     0.03747975     0.40642555  1989.72075379
     0.23000000   156.71756164   131.24399801    -0.00305918   676.44091762   565.36632993    -0.02493332     0.00000060    -0.00000072     0.00006436    19.81900000     0.03747730     0.40639874  1989.55094977
